2023,1,Щукина Регина Глебовна,2014-05-22,4
2018,8,Виноградова Агата Алексеевна,2012-12-08,1
2025,2,Беляева Диана Павловна,2014-02-20,1
2020,8,Фролова София Ильинична,2015-09-03,2
2024,5,Зайцева Виолетта Алексеевна,2013-05-04,1
2023,4,Соловьева Елена Платоновна,2015-11-10,2
2020,8,Устинова Мирослава Федоровна,2012-05-05,2
2021,7,Агафонова Ника Всеволодовна,2016-02-22,2
2023,6,Рябова Марина Вячеславовна,2015-03-29,4
2018,8,Игнатова Лариса Гавриловна,2010-06-01,4
2025,6,Морозова Диана Давидовна,2016-02-02,1
2022,5,Тимофеева Мария Тарасовна,2016-06-25,1
2022,10,Панина Есения Артемовна,2015-09-14,1
2019,3,Прохорова Зоя Вячеславовна,2011-02-06,4
2025,5,Кузнецова Надежда Сергеевна,2012-08-20,4
2020,1,Беляева Лилия Вячеславовна,2015-05-05,3
2019,6,Руднева Карина Тимофеевна,2013-04-08,2
2024,4,Фомина Вероника Ильинична,2010-11-22,3
2021,10,Лыткина Дарья Зиновьевна,2016-02-14,1
2025,3,Ермакова Светлана Давидовна,2015-03-09,4
2024,7,Комарова Эльвира Владимировна,2009-05-19,4
2018,6,Титова Татьяна Георгиевна,2016-08-09,3
2018,1,Белкина Регина Сергеевна,2008-11-18,4
2022,1,Тарасова Лариса Сергеевна,2008-01-31,4
2024,6,Петрова Карина Семеновна,2011-07-31,2
2019,4,Кузнецова Галина Юрьевна,2012-02-02,1
2023,2,Боброва Татьяна Савельевна,2007-09-24,2
2021,1,Ермакова Виктория Сергеевна,2012-07-01,2
2023,6,Иванова Кристина Глебовна,2013-07-30,1
2021,1,Сидорова Таисия Ивановна,2014-11-05,1
2024,3,Калашникова Кристина Олеговна,2007-12-02,1
2020,6,Баранова Эльвира Максимовна,2010-08-14,4
2023,6,Баранова Алина Егоровна,2009-11-23,3
2021,8,Белкина Оксана Назаровна,2014-12-12,2
2021,4,Сидорова Снежана Тимофеевна,2008-11-10,2
2020,3,Гусева Алёна Геннадьевна,2009-07-30,4
2025,5,Боброва Вера Тимофеевна,2006-04-24,2
2022,7,Прохорова Инна Даниловна,2013-08-29,2
2022,5,Морозова Ксения Сергеевна,2012-09-02,4
2018,8,Иванова Вероника Кирилловна,2008-08-06,4
2023,9,Быкова Ярослава Степановна,2011-03-10,3
2021,10,Чернова Стефания Ильинична,2014-12-24,2
2018,10,Ермакова Виолетта Павловна,2008-06-20,1
2022,9,Морозова Злата Захаровна,2009-11-17,4
2021,8,Баранова Ника Олеговна,2008-01-20,2
2022,6,Рябова Мария Анатольевна,2008-03-22,3
2019,2,Грачева Ольга Юлиановна,2011-08-28,3
2025,2,Игнатова Лидия Семеновна,2015-10-28,4
